Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	9.64242	3.938306	27.837072	4.3247685	13.131579	-0.29232106	0.0570512	-0.1303137	-0.461249	2000	4.0352344e-08	42.118202	-0.023479728	-31.928144	0.9189396	0.01607508	0.2405	3.0	8.025184154510498
1	10.438208	3.912899	28.644293	5.0018125	13.691781	4.137418	1.7829546	6.932471	-0.7635682	4000	1.1660158e-09	10.728697	-0.028611006	-3.9059796	0.9194938	0.016310565	0.2225	3.0	15.794086217880249
2	15.677754	9.610936	56.001404	5.433606	17.75	5.8280272	2.7101185	9.782065	-0.9489702	6000	1.579523e-08	61.201466	-0.029533928	-17.786434	0.91922283	0.021845747	0.3275	4.0	23.194206476211548
3	20.72715	17.983027	157.1758	7.933577	20.989246	9.94941	4.42889	15.195674	-3.451178	8000	-2.0805746e-09	246.42319	-0.0250488	-48.77339	0.9182845	0.017734293	0.174	3.0	30.902619123458862
4	46.084675	52.561234	241.70665	7.753608	33.83051	16.26617	6.814959	23.66184	-5.7925706	10000	-3.5613777e-08	1531.271	-0.015361131	-411.63135	0.9175086	0.018503333	0.2415	4.0	38.491353034973145
5	86.393715	68.3445	223.22597	6.99245	53.864864	31.819157	8.518307	36.010624	-9.775204	12000	1.8775463e-08	1821.6055	-0.008278094	-364.04248	0.9164444	0.017062142	0.2495	6.0	45.96612048149109
6	115.83226	54.40124	234.07965	11.241565	63.80645	44.752644	4.703148	46.121967	8.313331	14000	-1.3694168e-08	1364.6116	-0.018934207	-234.6759	0.9150763	0.007830018	0.1025	79.0	54.69122385978699
7	126.43468	67.288086	258.11597	13.811006	68.92857	52.467842	4.394549	53.23207	-1.1327817	16000	7.425248e-08	1643.6597	-0.019868987	-230.52893	0.919778	0.007309381	0.094	79.0	63.337422609329224
8	154.95775	54.45129	233.8413	59.88097	75.96154	58.355095	6.0212536	60.05415	6.1573505	18000	-6.7055224e-09	1627.5667	-0.008875599	-384.0382	0.9104412	0.01645155	0.1665	6.0	70.78237009048462
9	156.16757	55.654884	227.03743	55.830482	76.73077	61.531	13.695765	67.59636	-12.931535	20000	1.0415912e-08	1325.5171	-0.018542795	-232.85718	0.9097129	0.007318017	0.097	79.0	79.60189294815063
10	151.61601	64.08664	241.44896	36.843765	77.36	65.88001	15.234797	73.66857	5.8026524	22000	1.4409423e-08	1282.946	-0.019262038	-114.87561	0.91351837	0.012269623	0.107	79.0	88.18541598320007
11	203.14409	38.935207	239.39476	56.312813	92.52381	65.0348	19.4889	77.82869	3.7106595	24000	-4.7296286e-08	1262.4603	-0.017027967	-406.3883	0.9097099	0.006334173	0.1095	79.0	96.82921886444092
12	197.64174	46.565563	250.00063	79.95265	91.57143	74.402534	21.539164	86.06158	-6.0603423	26000	-4.2140485e-08	936.8783	-0.017221943	-187.61261	0.9124994	0.012398019	0.1055	79.0	105.64200139045715
13	211.14055	33.63507	244.6899	111.981255	95.85	77.33486	24.557125	91.89021	-53.682377	28000	-2.6732684e-08	810.29443	-0.022380153	-209.27496	0.91978693	0.012349593	0.1565	79.0	114.13382339477539
14	217.87134	26.287676	244.97473	115.443016	97.75	80.582535	25.989426	97.51189	4.8475513	30000	-3.1918287e-08	565.94305	-0.018210394	-160.06769	0.89667934	0.01318177	0.1045	79.0	122.58015704154968
15	223.86885	10.158002	258.6391	211.94238	100.89474	81.88044	29.938095	102.59644	-2.0611272	32000	3.784895e-08	355.92398	-0.0050454764	-120.8212	0.88852465	0.017478662	0.194	6.0	130.24183893203735
16	191.29184	38.334435	236.94571	100.72999	88.818184	92.10887	25.597801	107.158554	4.317196	34000	-5.427748e-09	717.261	-0.011300602	-233.55688	0.88881934	0.024069894	0.214	4.0	137.6851487159729
17	222.15486	21.171568	260.84088	150.18347	100.10526	78.04275	31.771921	108.5314	2.932928	36000	1.2814999e-08	491.9949	-0.0018469433	-254.23222	0.888531	0.016311402	0.1415	3.0	145.38526034355164
18	234.30898	39.13208	284.1211	96.605125	107.0	87.24277	32.25271	111.93323	-4.8739467	38000	8.672476e-09	476.62408	-0.0049711345	-91.59711	0.88798016	0.016239118	0.2635	4.0	152.8421106338501
