Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	9.18792	3.518024	25.526068	4.7262106	12.719746	-0.29091343	0.05657323	-0.14378728	-0.4558311	2000	-0.0030464798	36.343212	-0.010372255	-29.09138	0.9189396	-1.3709068e-09	10.441108703613281
1	9.519211	3.1523669	21.502304	5.063857	12.807693	4.0105786	1.9580541	6.830576	-0.8204198	4000	-0.06018634	6.0093317	-0.017141499	-2.0200446	0.91883856	3.3378602e-09	19.337063550949097
2	10.824229	4.3442693	28.310923	5.0317125	14.170213	4.7377768	2.7095444	9.100652	-0.5857801	6000	0.005167737	8.588294	-0.018005569	-1.5171304	0.9186212	7.1525574e-10	29.0130295753479
3	10.621884	4.346709	31.269495	5.008853	13.916084	5.2712245	3.2685492	10.702399	-1.0691295	8000	-0.025268042	8.219302	-0.018747026	-0.61969185	0.9185225	5.662441e-09	38.420958518981934
4	12.1925955	5.9386287	41.566425	4.831255	15.19084	5.8023825	3.3370714	11.447997	-2.150634	10000	-0.01849797	15.120979	-0.01868786	-1.3566952	0.91839314	8.2850455e-09	47.821046352386475
5	13.789637	8.569141	83.78527	5.633548	16.421488	6.5735054	4.00877	13.341866	-4.0982156	12000	0.025016673	43.01815	-0.0147987055	-5.6533737	0.9182624	2.0861626e-09	57.369040727615356
6	14.2610235	9.909864	85.39184	3.9761472	17.0	7.3718543	4.8796883	18.32067	-2.1787999	14000	-0.06514991	51.898262	-0.014819644	-5.56221	0.91821116	-2.9206275e-09	66.52121353149414
7	18.894825	19.51672	162.336	5.3429303	20.34694	8.826257	5.747255	22.430222	-4.497445	16000	-0.026505543	242.14966	-0.014696041	-55.979324	0.9180756	2.9802322e-10	76.0681562423706
8	20.030024	12.287222	101.222824	6.2601447	21.04301	13.855512	8.604311	33.21014	-3.0209684	18000	0.016886951	107.84085	-0.012994688	-26.0541	0.9179315	1.0430813e-08	85.48089385032654
9	24.427893	19.500092	106.4011	6.859881	23.517647	13.193184	8.70546	37.371407	-7.206338	20000	-0.056130283	178.34848	-0.013554797	-25.284363	0.9178379	-3.218651e-09	94.88083052635193
