Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-316.47552	277.7522	-38.723324	-594.2277	529.0	-0.03432222	0.15515906	0.45736694	-0.46161324	2000	-3.004074e-08	3496.552	-0.02708064	-961.7422	0.9189432	0.017363703	0.228	6.0	26.576371908187866
1	-133.59373	172.51038	1.0896525	-572.3261	221.625	-9.459447	0.22263911	-7.6888385	-9.637466	4000	-4.8339366e-08	1670.1823	-0.06562432	-365.4685	0.9171535	0.011977758	0.2875	79.0	55.53393220901489
2	-106.87412	174.91943	-13.761784	-596.6221	184.33333	-14.934244	0.16323812	-13.463075	-15.033464	6000	2.3722649e-08	1210.8461	-0.022736562	-220.9519	0.90359807	0.01647858	0.2185	7.0	81.76488018035889
3	-81.86113	133.62839	5.696747	-525.9791	146.84616	-19.273373	0.076736875	-17.996798	-19.315353	8000	2.989173e-08	754.09106	-0.021571321	-87.11261	0.9024837	0.017972946	0.2135	6.0	107.14872336387634
4	-113.72878	152.0353	3.9480677	-553.5365	182.6	-22.184074	0.051758	-21.356136	-22.209854	10000	-1.3560057e-08	686.7248	-0.019608177	-107.937744	0.9011718	0.01627237	0.285	10.0	131.6995873451233
5	-115.04702	181.40077	-1.5385122	-518.55145	221.5	-25.458086	0.041995544	-25.038067	-25.482935	12000	2.3156405e-08	679.7144	-0.023727354	-139.16425	0.8987284	0.016343104	0.305	10.0	156.0208020210266
6	-92.57367	144.25797	13.33934	-548.7574	159.25	-29.305744	0.035813052	-28.751244	-29.320465	14000	2.566725e-08	422.10495	-0.017059714	-41.37448	0.89591354	0.015049036	0.1695	7.0	180.0167977809906
7	-60.788044	64.39934	-0.15297094	-223.82976	94.84615	-31.578863	0.033429515	-31.079014	-31.592056	16000	3.988296e-08	710.75507	-0.018060258	-25.565918	0.8941151	0.018165898	0.236	8.0	203.53310084342957
8	-101.84233	163.31372	-19.027834	-582.4682	199.3	-32.52317	2.6444201	23.370508	-32.836174	18000	9.857118e-09	553.9294	-0.01984421	-62.699768	0.8923342	0.0164167	0.2175	9.0	223.5248851776123
9	-76.24186	123.634605	8.270242	-507.58292	138.64285	-31.732876	7.588909	32.995773	-33.8688	20000	3.3155084e-10	416.53537	-0.019220123	-65.89328	0.8907901	0.0160636	0.2285	8.0	243.54971933364868
