Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	9.414364	3.652576	24.419054	3.904177	13.058824	-0.2935372	0.056454003	-0.13387905	-0.4737726	2000	2.861023e-09	38.27619	-0.017197251	-30.025564	0.9189396	0.020795884	0.312	4.0	20.36168384552002
1	11.101131	4.484463	37.945377	5.6149178	14.177305	4.2342577	1.7861083	6.886611	-0.78998196	4000	-4.515052e-09	15.595041	-0.03185296	-5.3400135	0.9185738	0.020950735	0.277	4.0	41.06735682487488
2	17.818947	13.791586	96.77712	5.2930803	19.096153	6.293971	2.8535092	10.330992	-0.8531586	6000	3.528595e-08	137.57793	-0.02375846	-42.31887	0.9177923	0.018246252	0.281	4.0	61.73466920852661
3	22.46479	17.242512	126.77369	7.125686	22.21591	11.580446	5.2694635	17.927778	-4.9395776	8000	-4.818663e-09	178.00792	-0.027041368	-32.819244	0.9170152	0.016349625	0.16	3.0	81.53268051147461
4	52.959538	51.461697	213.8239	6.12482	37.45283	16.771955	6.996632	24.59242	-3.8158243	10000	-3.4719704e-08	1372.8202	-0.014718397	-429.19904	0.9162903	0.018996151	0.244	4.0	101.44751167297363
5	100.97421	65.916466	224.35951	8.386894	59.575756	32.905716	8.6516485	36.738506	-28.805243	12000	6.2465666e-08	1837.3981	-0.009017836	-454.84558	0.9154474	0.01786388	0.2585	6.0	120.70484113693237
6	117.22772	55.715675	239.21605	11.464603	63.612904	46.258503	4.263925	47.359657	6.9751463	14000	-3.2335519e-09	1384.652	-0.016106643	-184.43591	0.9147971	0.00652629	0.1	79.0	141.18469095230103
7	130.20245	56.179867	226.11934	36.625954	71.14815	52.56036	5.2833834	54.046974	6.064201	16000	7.1376562e-09	1360.0271	-0.019836327	-150.3208	0.91629547	0.008228969	0.1035	79.0	162.14098691940308
8	162.81084	60.71726	233.03777	63.815735	80.0	56.930397	7.6616035	59.74019	-1.1134646	18000	-2.0056962e-08	1785.188	-0.016511552	-400.93323	0.9259145	0.0051547005	0.0995	79.0	182.808669090271
9	174.26952	46.45595	229.95062	59.908585	85.21739	62.885094	13.15095	68.37993	-8.596863	20000	7.376075e-09	1270.0365	-0.0055714143	-265.95514	0.9240555	0.015197005	0.192	7.0	201.22373795509338
