Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	96.7742	22.23917	211.00613	72.388855	19.93	-0.058031384	0.2699296	0.7581501	-0.7248008	2000	-7.104874e-08	3341.5557	-0.06525459	-850.90967	0.9189439	0.0156188905	0.3155	3.0	40.21456718444824
1	97.35177	22.23565	175.62947	72.07994	20.09091	9.441613	0.11086097	9.451213	5.051933	4000	6.079674e-08	2495.2664	-0.05638299	-411.55713	0.918829	0.021259537	0.2915	4.0	81.70530128479004
2	97.94286	21.283503	183.47975	72.11724	20.17347	14.923346	0.03248904	14.925385	13.48803	6000	-4.8100947e-08	2107.3464	-0.051605612	-317.88086	0.9188739	0.020281972	0.2945	5.0	122.44474458694458
3	99.800415	23.340454	195.3333	72.090355	20.525774	19.76589	0.011031934	19.766714	19.374853	8000	-9.9509954e-08	1896.1411	-0.036886416	-260.95557	0.9188602	0.01752465	0.19	4.0	162.3547236919403
4	106.40501	33.056183	273.80356	76.687294	21.868132	24.238625	0.07772412	24.241493	20.842352	10000	2.220273e-08	2239.7754	-0.03917628	-268.87402	0.91863865	0.022147372	0.188	4.0	200.5970437526703
5	103.441864	26.738205	208.99086	76.57138	21.180851	28.830702	0.12592168	28.834452	23.214756	12000	-6.771088e-08	1630.9812	-0.059659246	-174.7378	0.91851294	0.016982907	0.3825	7.0	239.258553981781
6	106.97163	28.009033	186.70044	76.8438	21.956043	32.623867	1.2142246	32.66433	-18.113838	14000	4.0799378e-08	1582.942	-0.050480362	-155.25098	0.9182847	0.017419435	0.2735	6.0	276.86712193489075
7	109.3208	31.203022	235.63318	76.86805	22.59091	36.11559	2.2708778	36.27764	-29.730545	16000	1.1247396e-07	1595.7457	-0.050784357	-154.38855	0.91801876	0.020624427	0.3045	6.0	315.50450348854065
8	120.62148	40.014732	248.90182	76.794334	24.95	39.050335	3.213611	39.733654	2.1171508	18000	-4.2438508e-08	2073.8855	-0.046035845	-382.8512	0.9176762	0.019085472	0.2425	5.0	354.7426016330719
9	112.38219	32.486336	206.70847	77.01254	23.069767	37.68359	11.31543	44.354908	-17.696909	20000	-3.1031668e-08	1260.074	-0.04148924	-210.61914	0.91715884	0.01632901	0.218	5.0	393.7726104259491
