Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-106.86851	170.07417	-6.0716953	-608.1648	191.9	-0.027107125	0.15692142	0.43068504	-0.4749673	2000	1.990795e-08	2124.9016	-0.024765283	-633.9249	0.9189432	0.019453835	0.1865	5.0	2.5554676055908203
1	-180.10228	192.36281	-19.031622	-601.4737	266.16666	-9.2557535	0.32667994	-6.966812	-9.559097	4000	-1.1307001e-07	2095.819	-0.020231418	-529.2998	0.91819006	0.015498119	0.227	8.0	4.923138856887817
2	-191.40878	222.24171	-27.974417	-631.86926	275.2	-16.323706	0.088009454	-15.241874	-16.376348	6000	2.8073787e-08	1560.8563	-0.017665165	-365.4513	0.9163994	0.01635836	0.179	9.0	7.34461522102356
3	-55.86651	35.400417	1.2572552	-112.349365	91.125	-21.90269	0.05463961	-21.149363	-21.91987	8000	6.0349703e-09	510.2083	-0.069939196	-35.962738	0.9140703	0.012663252	0.2765	79.0	10.10174560546875
4	-74.68518	131.2726	-0.8948067	-518.01074	130.84616	-23.876411	0.25207922	-13.956453	-23.918324	10000	1.1146069e-08	558.22296	-0.021029763	-63.89026	0.8978815	0.018961327	0.2315	8.0	12.471832275390625
5	-214.83069	240.70605	-19.602348	-553.9475	364.0	-26.292418	0.8823695	6.6127496	-26.36218	12000	-1.0460615e-07	962.1623	-0.019123344	-253.65778	0.8966001	0.017747357	0.2525	7.0	14.887690782546997
6	-86.88434	142.37793	17.041588	-529.0489	157.33333	-31.34283	0.7601758	0.45193678	-31.38176	14000	2.4758279e-08	513.7862	-0.01929429	-41.68466	0.8947282	0.016173104	0.224	6.0	17.611858129501343
7	-92.41067	141.01517	4.8271565	-538.87335	165.58333	-32.87723	3.541355	27.134249	-33.383278	16000	-7.674098e-10	390.27078	-0.014978664	-36.04538	0.8931642	0.01657415	0.227	8.0	19.966957569122314
8	-76.99779	131.18977	0.5538009	-484.78247	164.63637	-34.351257	3.2303405	32.18202	-34.857872	18000	-8.255244e-09	292.55386	-0.017763859	-21.82486	0.8912914	0.016125875	0.2075	8.0	22.735790014266968
9	-93.92722	127.68719	2.9547634	-477.49026	177.54546	-34.27674	4.6522703	29.22084	-35.24723	20000	-1.9080938e-08	315.32504	-0.017569227	-43.438263	0.8897132	0.017712219	0.232	8.0	25.12289261817932
