Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	9.397425	3.668964	28.211906	4.760132	12.961039	-0.29048017	0.055860765	-0.14064705	-0.45343065	2000	1.9735099e-07	38.358387	-0.020372447	-29.943724	0.9189396	0.01928023	0.225	3.0	8.305741786956787
1	10.461334	3.4485693	23.283957	4.3010283	13.591837	4.17085	1.9409841	6.955478	-1.0395366	4000	-3.0498953e-08	8.337974	-0.033068333	-2.9969091	0.9186682	0.0156126255	0.2175	3.0	15.419495344161987
2	14.742736	8.846374	58.384308	5.184164	17.094017	5.672452	2.6449735	9.537454	-0.90888923	6000	2.3007393e-08	49.147255	-0.030648077	-14.783962	0.9184339	0.02228604	0.3125	4.0	22.89561915397644
3	20.303213	17.913256	142.72768	6.813297	20.536842	9.259034	4.306236	14.967455	-2.9429216	8000	1.2274832e-08	237.94788	-0.02547934	-51.47072	0.9179778	0.016956795	0.1655	3.0	30.08947467803955
4	38.90996	45.37278	240.0007	6.2850256	30.538462	15.750315	6.9438353	23.686632	-6.9576917	10000	-2.2053719e-08	1180.7831	-0.015525141	-268.35565	0.9173483	0.0185447	0.2295	4.0	37.19488739967346
5	77.295425	57.968636	216.19775	8.434735	48.17073	29.922697	9.314887	35.46797	-20.818033	12000	-2.1010637e-08	1380.5161	-0.0119826235	-312.06165	0.9164179	0.018236687	0.2615	6.0	44.73693513870239
6	127.09117	64.56258	239.88988	14.329285	67.93104	41.099716	11.469181	45.60743	-29.33295	14000	-5.9753655e-09	1978.8518	-0.018803485	-537.0609	0.915199	0.0065031354	0.11	79.0	53.02367854118347
7	128.99307	62.183617	236.60002	29.002687	68.27586	55.605774	1.7824153	55.945854	19.561684	16000	1.5199184e-09	1506.9608	-0.02042355	-171.13562	0.9066096	0.010322756	0.1115	79.0	61.27154350280762
8	159.7073	52.495464	224.95381	59.56132	76.88461	59.430298	7.613162	61.875793	-7.1962123	18000	-1.9013882e-08	1553.7913	-0.010192292	-365.6333	0.91076344	0.017875254	0.213	7.0	68.86195921897888
9	160.55528	58.84596	231.22641	52.34831	76.92308	60.90528	17.421337	69.97996	-24.88824	20000	2.1338463e-08	1314.9645	-0.006575692	-260.46143	0.9100052	0.016709017	0.1915	7.0	76.21026968955994
10	170.65904	55.146122	231.51683	66.3774	81.458336	67.53936	18.144827	76.8517	0.98952585	22000	4.8577786e-09	1142.395	-0.0172809	-151.19476	0.90931755	0.012611516	0.1215	79.0	84.3595187664032
11	195.55992	47.285393	236.40953	60.694202	90.045456	69.28308	21.23513	82.26428	-5.8446565	24000	-2.542138e-08	1039.8441	-0.016585052	-254.46204	0.9056212	0.010280147	0.0925	79.0	92.91550087928772
12	195.14784	43.611458	226.2479	76.45077	88.27273	74.84324	23.555845	88.98392	2.387718	26000	-1.4781952e-08	800.1588	-0.0076095844	-175.52887	0.902474	0.015238932	0.2505	7.0	100.40769577026367
13	179.94287	53.850357	236.80754	23.89945	84.86957	80.34745	24.079807	94.40072	-30.521965	28000	-1.4666468e-08	757.56433	-0.006517773	-149.26349	0.90206814	0.015484563	0.225	7.0	107.56978631019592
14	214.76602	16.312035	241.27405	155.79	95.85	79.151054	26.179863	97.44639	3.9738917	30000	2.3722649e-08	494.0954	-0.020364458	-177.72778	0.9020889	0.011496373	0.1035	79.0	115.74382281303406
15	212.13818	18.6944	244.23265	149.05714	94.47619	82.382744	29.358994	102.611725	-1.1428144	32000	4.082918e-09	334.1239	-0.014720512	-90.17534	0.9132488	0.0053506135	0.099	79.0	124.27094054222107
16	210.7207	16.10838	237.69421	150.46948	93.666664	85.36346	30.851347	106.70471	-7.0795174	34000	9.343028e-09	232.28226	-0.018952316	-71.6304	0.90646636	0.007464579	0.0925	79.0	132.59954690933228
17	214.69693	16.557035	241.23776	167.092	95.6	84.41175	32.55452	110.034065	-1.7146571	36000	1.0669232e-08	217.87738	-0.0058449036	-82.83293	0.91010034	0.01827941	0.1785	5.0	139.6625428199768
18	217.74654	9.613828	238.57782	196.58925	96.15	87.61509	33.456985	113.06744	2.763588	38000	3.2693148e-08	123.005066	-0.018233018	-39.689438	0.9101964	0.0071730833	0.115	79.0	148.0716269016266
19	220.69815	12.03809	256.92334	206.20918	98.65	89.43447	34.13445	115.872284	-5.2906127	40000	-2.6538968e-08	101.618256	-0.00842452	-32.12874	0.90398616	0.018135523	0.199	4.0	155.55970430374146
20	225.12253	15.060855	256.82715	194.51347	98.55	88.50374	35.683712	118.25695	-2.230398	42000	3.8415195e-08	184.20967	-0.022531617	-65.033485	0.90386295	0.008283791	0.165	79.0	163.82356667518616
21	234.43483	25.7338	316.4957	186.93431	102.31579	92.32136	35.32336	120.65321	1.5521399	44000	-1.1369586e-08	212.81837	-0.007887497	-47.248978	0.8957096	0.016093256	0.2205	5.0	171.2358090877533
22	270.09332	43.725574	355.43704	206.89508	118.5625	95.8894	33.31202	123.36615	-33.143414	46000	3.0696392e-09	667.7526	-0.007562164	-277.12976	0.8952405	0.022103753	0.2475	4.0	178.6081621646881
23	301.66986	32.77486	359.6665	238.5906	132.53334	93.39659	41.93199	128.11447	-26.508535	48000	-7.933378e-08	709.1632	-0.004676159	-385.64697	0.8948038	0.020237409	0.239	4.0	185.5327708721161
24	320.1167	54.59712	382.19318	195.72968	148.3077	112.98297	33.211994	133.4984	3.574451	50000	-6.943941e-09	817.62665	-0.002444425	-323.91415	0.8946181	0.01879221	0.231	5.0	192.83550667762756
25	361.95236	85.689186	568.41	196.07608	175.09091	110.089554	36.786392	137.50455	2.6023188	52000	-8.478761e-09	617.1676	-0.025132947	-244.72495	0.893941	0.006789877	0.181	79.0	201.42968916893005
26	338.83743	51.244884	432.55524	206.55237	151.07692	116.44384	36.706596	140.97948	2.495503	54000	-1.3403595e-08	653.95013	-0.021391258	-264.59695	0.89201546	0.007822115	0.122	79.0	209.76762580871582
27	305.0532	75.43216	415.3637	134.46794	139.57143	117.45878	39.26827	145.07948	1.1387509	56000	-1.9930303e-08	1180.5061	-0.02149332	-482.13696	0.8993726	0.011298584	0.134	79.0	217.85388898849487
28	350.10162	39.218018	394.90863	224.93417	148.23077	112.1011	39.888527	146.1145	-2.2648473	58000	5.543232e-09	658.3347	-0.022115115	-272.6426	0.8984104	0.008022458	0.146	79.0	226.31412363052368
29	366.1934	34.55724	419.22217	288.92346	151.76923	121.948204	40.43588	150.98158	-0.59610367	60000	-1.8671155e-08	467.28296	-0.02550325	-176.95038	0.8834362	0.011136812	0.125	79.0	234.35153341293335
30	393.92334	67.447365	591.03796	324.73938	159.66667	125.93263	41.380394	156.22379	-1.5997362	62000	-6.2584876e-10	671.6303	-0.026003556	-270.76392	0.87279576	0.01243728	0.1255	79.0	242.73431205749512
31	397.74973	27.54062	459.15704	344.92468	150.3077	130.22897	45.93803	162.83421	2.5742254	64000	4.0322544e-08	466.3369	-0.025415732	-192.10962	0.8677927	0.012398476	0.148	79.0	251.09873723983765
