Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	97.76962	23.793049	198.5903	72.10027	20.070707	-0.05576277	0.271643	0.7680444	-0.7461405	2000	2.348423e-08	3451.4182	-0.051951278	-865.76636	0.9189439	0.015780436	0.181	2.0	9.921134948730469
1	95.78837	21.671278	179.04811	72.1683	19.683168	9.455033	0.024283871	9.4602585	8.8656225	4000	2.6106834e-08	2419.3599	-0.05676214	-395.9358	0.9186259	0.017838657	0.292	4.0	20.82931089401245
2	95.28093	18.328241	155.74873	72.16193	19.722773	14.822668	0.020193288	14.824398	13.96632	6000	-1.03652475e-07	1887.4724	-0.046738844	-288.60156	0.9183307	0.020858655	0.301	5.0	32.015376329422
3	98.6863	23.40333	187.78651	76.530495	20.32653	19.469574	0.01733857	19.47074	18.725792	8000	5.456805e-08	1874.0969	-0.051347833	-260.18665	0.9178807	0.02123955	0.277	5.0	42.896586179733276
4	102.004845	23.780539	189.59254	76.78285	20.957895	23.953754	0.151621	23.960281	18.685375	10000	4.2140485e-08	1739.3668	-0.036960814	-223.068	0.91742104	0.017494678	0.16	4.0	53.86087131500244
5	98.753296	21.039078	164.0699	76.738815	20.316326	28.192097	0.3654289	28.211231	13.61722	12000	6.5743926e-08	1337.554	-0.049241666	-153.15308	0.91728354	0.016672738	0.2725	6.0	64.85318446159363
6	105.846596	30.060947	188.47581	76.82775	21.695652	31.356699	2.6606364	31.797142	-1.0289621	14000	-2.7239322e-08	1674.5039	-0.05440789	-249.21997	0.91729766	0.018875696	0.2855	6.0	76.02102327346802
7	103.9063	26.349493	182.89944	76.77556	21.265957	32.17803	6.6529756	35.73373	-5.522007	16000	-1.2814999e-09	1271.4774	-0.05116095	-233.98328	0.9172906	0.017997535	0.27	6.0	87.20898199081421
8	110.7915	26.552702	184.67776	76.76635	22.689655	34.253887	9.946546	39.766087	-3.2916517	18000	-3.9458275e-08	1251.5918	-0.044365246	-207.07678	0.9171624	0.015492774	0.236	5.0	98.45718312263489
9	112.0077	31.831013	189.89172	76.73367	22.850574	37.056892	11.792209	43.88036	-7.099669	20000	5.9336426e-08	1230.6831	-0.05883677	-194.92969	0.9170726	0.017585967	0.3335	7.0	109.82493710517883
10	115.096176	30.619263	225.8566	76.84415	23.494118	39.777832	13.393707	47.915806	-7.0727806	22000	1.4841556e-08	1128.2445	-0.052000433	-188.86792	0.91691375	0.016343733	0.267	6.0	121.07552480697632
11	115.975746	34.74319	265.50302	76.962746	23.738094	42.203926	14.828925	51.755898	-4.644002	24000	1.0997057e-08	1152.7432	-0.05543694	-178.75934	0.91668475	0.016955366	0.3435	7.0	132.30108189582825
12	125.47676	40.94779	248.4385	81.66851	25.538462	44.489212	16.213459	55.48833	-5.519271	26000	6.28233e-08	1389.7563	-0.053263485	-223.4878	0.9161232	0.020957364	0.262	6.0	143.53707265853882
13	128.92767	37.606262	269.397	81.87934	26.25	47.073467	17.738708	59.682278	-9.641551	28000	2.1249056e-08	1200.8702	-0.04484839	-205.32782	0.9156107	0.017991226	0.2325	5.0	154.97308254241943
14	144.91183	52.39839	289.37006	76.80983	29.41791	52.635494	17.22054	63.61566	-10.501211	30000	-4.842877e-09	2011.848	-0.05021096	-338.52344	0.9153084	0.017878113	0.3155	6.0	166.169278383255
15	140.32373	45.93501	329.25632	81.331795	28.485714	53.114803	21.529041	68.6975	-12.118949	32000	5.6117774e-08	1428.6348	-0.039934807	-271.47632	0.9151545	0.015515665	0.1405	4.0	177.8253538608551
16	142.37474	45.011086	273.60257	81.49151	28.867647	57.715477	21.384829	72.79848	-10.957024	34000	2.4661421e-08	1414.7996	-0.04530455	-289.3866	0.91492283	0.019867731	0.2415	5.0	189.4572012424469
17	167.59203	60.677174	321.1027	87.047516	33.864407	61.5306	22.497856	76.720245	-39.84006	36000	3.3020974e-08	2195.7417	-0.04913621	-443.76648	0.9145595	0.018957237	0.2665	5.0	200.9448277950287
18	173.1936	66.59774	441.5145	81.90121	34.929825	65.63667	24.288504	81.97858	-28.529127	38000	-5.6028366e-08	2419.8853	-0.037062664	-470.21985	0.91424835	0.015472665	0.179	4.0	212.29665660858154
19	176.704	61.042423	369.2872	81.924065	35.285713	69.02314	26.490168	87.30174	-10.322624	40000	-2.4020672e-08	2038.2471	-0.041898735	-478.44397	0.91414815	0.015903069	0.2425	5.0	224.27711272239685
20	189.5001	82.80246	465.30966	93.16591	37.884617	73.29333	27.46113	92.057495	-46.721764	42000	-4.2378904e-08	3344.5764	-0.04973546	-694.37354	0.9139371	0.01651541	0.3	5.0	235.8812291622162
21	204.39484	78.029335	439.95636	99.2351	40.632652	78.66444	29.055431	97.71485	-27.546705	44000	3.0487776e-08	2960.4236	-0.038388718	-659.70557	0.9136275	0.016788624	0.1805	4.0	247.7251889705658
22	219.67996	67.77821	322.04504	86.91328	43.260868	82.893654	31.395779	103.28509	-30.981617	46000	-5.081296e-09	2503.354	-0.04208356	-612.8689	0.9133369	0.016851587	0.247	5.0	259.48290276527405
23	205.79724	76.830986	431.4519	86.43152	41.291668	85.90648	32.88125	108.58735	-47.375225	48000	-3.8951637e-08	2459.4336	-0.059470393	-722.96545	0.9127766	0.017594667	0.383	7.0	271.22131848335266
24	236.67357	72.42641	463.38156	91.405876	47.707317	84.3056	36.47923	112.89019	-24.076424	50000	2.3514032e-08	2835.2693	-0.056349963	-876.1315	0.9118187	0.015573232	0.2635	6.0	283.015056848526
25	268.7484	88.32848	459.09024	94.01748	53.945946	93.41843	35.31577	117.90114	-11.54413	52000	2.1785498e-08	3806.5337	-0.040832665	-961.7932	0.9111961	0.015516927	0.1495	4.0	294.8636157512665
26	272.41193	67.24768	417.97818	153.22032	54.36111	101.15179	36.17355	124.25805	-11.192928	54000	-1.938641e-08	3041.406	-0.051213067	-970.18506	0.9109012	0.018979473	0.3205	6.0	306.6512038707733
27	300.88788	82.99101	468.82404	108.36484	59.969696	103.588356	39.086735	129.51088	-5.221011	56000	1.8581748e-08	4092.4421	-0.06114305	-1299.2405	0.9103094	0.015797244	0.3845	8.0	318.58912229537964
28	291.27344	88.024345	549.46716	112.85819	57.794117	111.649895	39.17415	135.53824	-28.669884	58000	5.2943825e-08	3923.3035	-0.052162223	-1249.8196	0.9098676	0.01600824	0.289	6.0	330.56826519966125
29	284.4195	79.70589	426.4258	100.53213	56.057144	110.34935	43.190998	140.87227	-20.367247	60000	2.682209e-08	3068.6992	-0.045196433	-1071.6831	0.9094881	0.019443348	0.2345	5.0	342.3151915073395
30	278.90457	79.32668	470.05258	97.33957	54.916668	114.13958	44.580643	145.41257	11.96794	62000	3.799796e-10	2834.0833	-0.042731572	-1160.6855	0.9090359	0.017231997	0.2195	5.0	354.0793216228485
