Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	17.972782	15.588855	106.61179	3.8763895	42.73387	0.53540903	43.250664	41.275723	22.59091	24.9	1999	3.5689998	2.0543358	15.266343	-1.8649747	3.5684774	2.0535388	15.41918	-1.9669123	-1.3863201	1.208834	5.498783	-8.355953	-4.1168146	0.22380213	116.94720983505249
2	17.71572	13.129425	80.47457	4.5806484	37.835686	0.643541	38.570225	36.646095	21.382978	21.8	3999	13.690454	7.552518	57.496376	-11.488362	13.691133	7.549939	57.550903	-10.31814	0.60592175	1.984147	14.131836	-12.968275	-15.484026	1.9215527	438.3479630947113
3	18.559774	16.135159	137.59286	5.477039	39.2536	0.7001665	40.257515	38.34395	21.791208	22.4	5999	34.115253	14.235457	114.30979	-24.479523	34.11706	14.240071	114.582565	-26.659582	1.3946619	2.2187963	21.602873	-14.041785	-37.702374	9.274992	847.0987315177917
4	19.454088	23.549093	174.2707	5.7033415	118.82942	9.602606	142.5672	110.916084	22.738636	68.0	7999	69.30742	29.310688	232.13806	-49.89086	69.30842	29.309435	232.99118	-51.665676	3.7426972	2.7917547	22.982037	-10.436136	-78.17515	42.254196	1262.0736389160156
5	19.925102	18.58335	117.65547	4.7784767	117.91484	0.73149985	119.33218	117.02914	23.988094	64.4	9999	131.15215	43.332253	281.7213	-227.16133	131.1537	43.33368	284.19376	-195.28645	4.669378	2.9689856	30.172941	-11.351576	-144.4163	126.80375	1677.436855316162
6	196.8856	35.175976	228.65315	90.824974	234.0028	1.8755183	236.50627	231.37895	93.7619	105.1	11999	186.30705	52.663128	307.88934	-192.07483	186.31238	52.675526	302.86536	-183.80505	4.622951	3.1237037	26.860125	-10.727158	-199.72356	220.61632	2105.7046205997467
7	214.91562	14.100391	250.31126	196.84012	224.88657	1.2803065	226.97462	222.41629	100.45	98.2	13999	212.27872	57.21339	291.8013	-235.49402	212.27748	57.214344	291.26132	-206.27405	3.7404687	3.2310488	35.196026	-10.518906	-222.5658	203.91591	2535.451838493347
8	221.6457	4.534731	232.65137	215.79662	222.45789	0.82229084	224.80673	221.76909	98.8	98.1	15999	212.44812	63.12374	291.8784	-316.55573	212.44762	63.13308	292.61966	-398.19693	2.924466	3.1723878	42.339848	-10.620592	-220.52675	169.73764	2962.952319383621
9	186.4439	70.59002	226.06735	27.750788	219.6551	2.4990747	223.57224	215.33583	85.78261	99.1	17999	208.78172	69.73752	293.9948	-133.85252	208.78297	69.72455	290.70856	-142.99968	3.013562	3.3672655	34.800694	-10.138591	-216.37505	155.20764	3384.5767810344696
10	221.68825	15.126197	251.6917	193.87042	280.08096	5.9684486	288.6815	273.11472	105.57895	155.3	19999	202.54918	75.36817	280.0328	-139.88959	202.5538	75.3158	278.98904	-207.99397	2.7951684	3.4492693	46.721035	-15.21051	-209.11401	144.68744	3812.0451579093933
