Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-71.69655	134.7462	7.780765	-420.28485	223.34521	6.575782	233.15077	210.93727	180.125	1000.0	1999	-0.7269284	1.164492	5.5543284	-7.550979	-0.72594464	1.1647774	5.509294	-7.707742	0.28591773	0.23376553	181.76889634132385
2	-129.66776	156.86461	-2.2153728	-377.95853	826.54706	103.69448	963.50854	560.8909	342.14285	1000.0	3999	-0.11524566	2.13146	11.910582	-13.068673	-0.11515684	2.1328475	12.288822	-13.365148	-1.0723491	0.3454848	425.2224118709564
3	-27.387928	68.69812	23.696712	-318.2022	698.27405	284.7261	956.5062	-14.113969	102.38095	903.3	5999	2.2941575	3.10929	19.821522	-13.418201	2.293625	3.1117647	20.976486	-13.148192	-4.1922636	0.87462765	668.7858035564423
4	-48.08329	80.5515	5.426978	-288.77454	135.26003	297.76337	640.3308	-140.03952	166.54546	428.0	7999	5.803468	4.195454	29.090765	-17.886389	5.802748	4.1944714	30.660719	-17.835346	-8.491047	1.6703207	861.4005408287048
5	-65.17748	109.5665	4.6060243	-328.91138	-99.40189	143.4346	-3.2208567	-512.3711	213.28572	142.2	9999	9.842476	4.9535084	39.57446	-12.0360155	9.843402	4.952299	38.400524	-12.752792	-13.1572485	2.5268698	1026.4343225955963
6	-88.38504	171.91968	3.0004575	-571.0524	737.59766	115.00364	879.428	511.51218	269.33334	1000.0	11999	12.710617	5.4943156	42.661335	-11.123991	12.711948	5.501369	41.09747	-9.9936695	-15.466484	3.7247217	1268.0432114601135
7	204.494	185.91347	456.7222	14.103764	313.5404	349.56128	766.0348	-3.1340818	673.0	566.9	13999	13.603313	6.0613756	43.815937	-13.625313	13.604459	6.067962	43.78534	-15.211583	-15.995703	3.4733603	1473.6212437152863
8	53.465855	33.375065	78.69184	-24.576616	77.39318	91.95898	262.2606	-40.3019	276.42856	574.1	15999	14.239799	6.7468553	45.977123	-16.149933	14.239468	6.751495	46.786194	-16.703413	-16.50931	4.3660526	1676.1508145332336
9	163.51677	70.24619	247.5082	75.57683	66.40443	81.67751	256.99048	-53.994816	740.3333	340.0	17999	14.45189	6.982246	47.43786	-17.190592	14.451298	6.9845786	48.718616	-19.06241	-16.628609	4.057951	1855.726645708084
10	61.703075	62.805668	156.13751	3.8589501	193.7733	238.53712	709.46326	39.635635	226.4	328.5	19999	14.666383	7.298554	48.32216	-19.352743	14.66719	7.3031273	49.260944	-20.021955	-16.773272	4.047044	2039.577657699585
