Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	122.414185	35.750267	275.5172	78.46576	64.809555	2.1414475	66.39741	61.399685	24.365854	13.7	1999	10.203831	3.0380554	18.96475	-0.5445839	10.202491	3.0391426	18.426432	-1.2669214	-10.739904	0.87999254	122.20654129981995
2	124.64514	38.42187	239.8235	78.31235	64.33182	2.2899523	66.35301	61.447044	24.8375	13.6	3999	24.193245	7.4222836	42.134552	-3.4118621	24.192896	7.419778	41.72271	-5.814004	-24.107222	2.2764192	379.3582887649536
3	126.002884	39.327534	280.5258	78.4558	64.278435	2.3309624	66.33911	61.358578	24.9875	13.6	5999	37.258484	12.990087	60.954346	-6.343118	37.25791	12.9822445	59.995945	-9.760074	-36.179947	4.445058	685.8217649459839
4	121.70866	32.924286	222.88403	78.69212	62.389565	1.8806293	66.251366	61.26771	24.228916	13.2	7999	38.38401	17.93163	71.09953	-5.1289144	38.385063	17.922827	69.356	-5.5939474	-34.668518	8.478237	991.8104090690613
5	123.398125	34.524445	237.23987	83.098595	62.8079	2.2320666	66.38071	61.226482	24.439024	13.3	9999	31.134602	14.31916	68.66553	-6.7803235	31.136087	14.308696	67.16296	-4.0479956	-27.181019	8.606753	1312.136610507965
6	64.948395	2.3349571	67.20937	61.706127	64.35927	2.3415756	66.38688	61.422688	13.605442	13.6	11999	29.28171	11.619788	55.47934	-5.5279136	29.282122	11.616459	55.32219	-11.031976	-27.13333	4.209772	1640.2418186664581
7	64.89113	2.356833	67.168945	61.76415	64.79525	2.2113082	66.48251	61.3536	13.591837	13.7	13999	31.517883	12.903661	60.938778	-3.02241	31.517662	12.901905	60.578503	-1.8353169	-29.690407	3.4011972	1971.1678647994995
8	64.75393	2.371885	67.11475	61.83617	65.25419	1.8997228	66.31746	61.412407	13.564626	13.8	15999	34.07965	14.741489	66.53051	0.5360743	34.080383	14.740874	65.96519	0.13120443	-33.04027	3.4583807	2306.688815832138
9	64.656685	2.3654726	67.09684	61.81692	64.37881	2.3289776	66.39016	61.33916	13.5472975	13.6	17999	35.92307	16.493984	71.621346	-1.5512223	35.92291	16.493803	71.55454	-1.4690862	-35.117996	3.5677252	2648.785830259323
10	65.05996	2.322175	67.11639	61.854435	62.405632	1.854272	66.186874	61.306152	13.625851	13.2	19999	36.30881	17.178337	73.23393	-1.4621315	36.30878	17.178843	74.4122	-1.8333123	-35.38382	3.3996544	3006.8987352848053
11	64.882385	2.3406353	67.09559	61.80022	64.30582	2.3001828	66.28344	61.342144	13.591837	13.6	21999	36.304474	17.336971	76.52499	-0.68079925	36.30472	17.337337	77.3222	-1.3992698	-35.460514	3.1844084	3362.610837459564
12	65.022125	2.3360975	67.09745	61.83822	64.31029	2.3390505	66.31685	61.318935	13.619047	13.6	23999	36.267986	17.522917	76.55436	-2.3331602	36.267536	17.522902	77.10745	-0.12514049	-35.52818	2.9708114	3743.185041666031
13	64.97976	2.3384428	67.1997	61.75487	65.213715	1.9141504	66.26118	61.344692	13.612245	13.8	25999	36.333664	17.717169	77.5703	0.11431655	36.333244	17.717112	76.49614	-0.061353236	-35.631813	2.8623803	4135.452705144882
14	64.857635	2.3458982	67.08522	61.74588	63.764626	2.3317215	66.352905	61.300594	13.591837	13.5	27999	36.07937	17.799768	76.8711	-2.452354	36.07894	17.80001	76.48721	-1.1331723	-35.46512	2.6936505	4511.326610803604
15	64.777626	2.3686292	67.15291	61.79875	64.35826	2.3025174	66.34491	61.40208	13.571428	13.6	29999	36.095055	17.847546	76.65103	-0.11757386	36.094784	17.847466	77.22047	-1.3689424	-35.500378	2.5017028	4898.904871225357
16	64.69159	2.3798296	67.19555	61.764645	65.157	1.8940378	66.37097	61.35065	13.554054	13.8	31999	35.92232	17.899784	78.03775	-5.5252132	35.92201	17.900127	76.32458	-0.33915016	-35.305683	2.3822715	5294.92379117012
17	64.755936	2.3662465	67.19172	61.827297	64.76709	2.143883	66.313774	61.431828	13.564626	13.7	33999	35.79983	17.91861	78.03143	-0.45279568	35.79973	17.918087	78.001724	-1.5302777	-35.26228	2.2490976	5677.667329549789
18	64.890015	2.3497226	67.171036	61.830162	64.30888	2.3037348	66.32656	61.36663	13.591837	13.6	35999	35.701843	17.938314	78.74269	-2.1930428	35.701824	17.93878	77.73365	-0.43565345	-35.16855	2.192043	6073.734576702118
19	64.89536	2.3438747	67.136284	61.76195	64.36464	2.3670127	66.40919	61.381462	13.5986395	13.6	37999	35.487774	17.890451	77.763565	-1.8508542	35.487537	17.890036	76.573296	-0.34077564	-34.928337	2.1298306	6436.1717031002045
20	64.78241	2.3823218	67.13589	61.794632	65.30615	1.9068213	66.390045	61.433514	13.567568	13.8	39999	35.31735	17.81657	77.91956	-0.30975646	35.317085	17.816193	77.37218	-3.4726477	-34.855396	2.0461507	6811.825702190399
21	64.77959	2.3706248	67.11781	61.79492	63.860344	2.3651073	66.36762	61.3366	13.571428	13.5	41999	35.351303	17.780682	76.84682	-0.1715995	35.351173	17.780739	78.02475	-2.8892634	-34.95483	1.9571927	7175.046578645706
22	64.985344	2.3415103	67.1066	61.769775	64.34741	2.344366	66.35047	61.30862	13.612245	13.6	43999	35.129513	17.787226	75.55414	-0.17826861	35.129326	17.7872	74.60936	0.27219665	-34.722973	1.9256399	7561.044803380966
23	64.436745	2.404547	67.06939	61.82569	63.411793	2.3021502	66.29055	61.471733	13.506757	13.4	45999	35.06239	17.7469	75.775475	-1.1954174	35.061996	17.746756	76.015724	-8.57439	-34.651398	1.8924524	7943.944393396378
24	64.95485	2.3378155	67.11908	61.78676	65.26121	1.87756	66.3977	61.37619	13.605442	13.8	47999	35.01878	17.729944	77.89185	-0.23597234	35.018936	17.729311	76.77088	0.25727212	-34.547962	1.8107156	8342.622579574585
25	64.82692	2.3555963	67.18376	61.799328	64.735214	2.1924052	66.2967	61.262535	13.578231	13.7	49999	34.843624	17.69757	76.94412	-1.2690086	34.84361	17.697504	75.245	-2.506115	-34.432556	1.8056914	8730.367666959763
26	64.983536	2.3554106	67.128	61.779835	63.839264	2.3002005	66.418945	61.4752	13.612245	13.5	51999	34.85473	17.67026	75.95865	0.22982568	34.85453	17.669771	75.64668	-3.016645	-34.49017	1.7309266	9121.475858688354
27	64.822	2.3644097	67.13297	61.72357	64.785934	2.1026478	66.26104	61.542633	13.581081	13.7	53999	34.854977	17.680931	78.7143	-0.14613175	34.854908	17.68109	75.221924	-0.78315073	-34.463554	1.6875461	9517.335894346237
28	64.43576	2.3738892	67.05736	61.815376	65.22234	1.8574926	66.30322	61.474636	13.5	13.8	55999	34.778927	17.662247	76.72768	-2.135603	34.778625	17.662825	75.87218	-0.1850481	-34.422478	1.6934644	9882.295929670334
