Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-50.67061	37.040348	-3.490039	-176.09192	77.708336	-0.029380111	0.16234604	0.41804647	-0.46421027	2000	-0.065510936	848.3628	-0.007241167	-311.61578	0.9189432	-1.5735626e-08	37.41586899757385
1	-53.395737	50.450584	13.491405	-220.22702	73.92	-9.052984	0.5988374	-0.38060528	-9.405276	4000	-0.08709318	902.64777	-0.0046892166	-221.86914	0.9187154	1.5735626e-08	73.3117413520813
2	-253.11835	272.71698	-54.443024	-638.73895	408.33334	-15.660309	0.55333126	-6.703529	-15.85659	6000	-0.15948786	2208.31	-0.0027894378	-653.7103	0.918509	-4.053116e-09	109.72441601753235
3	-74.84665	155.12207	10.870596	-662.8082	120.9375	-24.435505	0.052497037	-23.74459	-24.455048	8000	-0.16794951	898.73236	-0.002860561	-78.183105	0.9183078	-3.8146974e-09	145.38946175575256
4	-49.549927	40.149357	-0.05900969	-152.38927	84.71429	-27.39171	1.7817309	13.712726	-27.592014	10000	-0.13553786	803.644	-0.0021452457	-70.91394	0.91807437	-5.722046e-09	180.13160943984985
5	-62.0942	70.831314	10.984076	-289.3809	98.85	-28.695744	7.004996	29.163862	-30.047815	12000	-0.121954225	587.7894	-0.0026983693	-37.1261	0.91786057	-7.152557e-09	213.5670986175537
6	-98.758644	170.94177	14.543745	-619.1413	170.09091	-30.670746	2.6404357	25.112799	-30.950373	14000	-0.0997476	677.1201	-0.002029784	-85.46045	0.9176435	1.34706495e-08	246.95994758605957
7	-108.397064	185.32784	-11.252634	-629.1698	179.55556	-33.50176	3.4867444	27.909157	-33.99375	16000	-0.1648622	722.8702	-0.000945434	-97.20068	0.91743004	6.3180923e-09	280.81595039367676
8	-71.99273	139.899	10.444615	-581.67145	120.13333	-34.888447	7.1328583	32.87276	-37.362	18000	-0.055802323	599.80225	-0.0018268079	-71.83746	0.91720814	-1.9073487e-09	314.63285732269287
9	-632.0639	29.249146	-602.81476	-661.31305	1000.0	-37.75743	4.3222737	8.787687	-39.441143	20000	-0.24176484	600.2469	-0.001639083	-225.01901	0.9170016	1.013279e-08	348.7116458415985
10	-45.590508	28.97566	1.558365	-104.08003	81.07692	-43.90912	1.0453366	-17.16956	-44.02651	22000	-0.085716434	658.201	-0.0015879199	-127.760254	0.9167768	2.3126603e-08	382.6888334751129
11	-86.1788	145.44398	13.137275	-541.7043	163.83333	-36.864967	8.987811	15.972607	-43.80527	24000	-0.1692346	360.93237	-0.0011069775	-110.42549	0.9165552	1.1324882e-08	418.21574568748474
12	-64.903656	64.14223	-5.4261656	-210.04008	141.25	-36.32968	9.505332	27.964203	-44.642956	26000	-0.09792901	468.2546	-0.00121665	-130.74826	0.91633797	-2.503395e-09	453.31570625305176
13	-37.630547	40.35475	17.65553	-147.53291	75.23529	-33.108856	13.06926	38.117992	-45.906567	28000	-0.15406643	389.35303	-0.0009796172	-147.3687	0.9161232	-4.4107438e-09	488.0193901062012
14	-103.62351	196.7984	3.0294175	-584.34064	193.14285	-32.8581	13.345487	30.898827	-46.397354	30000	-0.10869312	656.4203	-0.0008815229	-419.44504	0.9159012	-1.2874604e-08	523.0599422454834
15	-114.748116	155.44229	0.18234956	-588.39014	181.54546	-34.365772	14.2408495	5.6714306	-48.628162	32000	-0.10624094	494.39243	-0.0012048334	-147.90018	0.91568106	7.152557e-09	557.5772635936737
16	-92.575554	159.34673	-3.5548801	-610.836	155.83333	-43.694767	8.669619	-8.800375	-50.732784	34000	0.0146690775	369.56604	-0.0012175692	-68.97659	0.9154635	4.6491624e-09	592.3887395858765
17	-61.39371	130.49837	4.9034214	-555.4611	120.8125	-36.608147	13.2010765	18.66558	-50.795254	36000	-0.080026165	382.5936	-0.0008055568	-132.14462	0.9152673	1.6689301e-09	627.0118024349213
18	-74.32546	133.63081	19.445719	-541.75165	125.13333	-35.889076	16.432575	10.274581	-51.47901	38000	-0.10119276	360.63245	-0.0009994432	-100.01285	0.9150829	-1.704693e-08	661.85977602005
19	-106.63442	159.52391	-4.10748	-576.81067	177.5	-38.847637	13.480447	10.276941	-51.315666	40000	-0.09309682	301.7666	-0.0012719631	-79.99629	0.9148956	3.695488e-09	695.6156294345856
20	-161.73694	193.39024	-23.819168	-588.6885	259.33334	-39.944763	11.777147	0.7618951	-51.619278	42000	-0.15850495	397.5915	-0.0011342913	-141.11581	0.91470337	-7.2717667e-09	729.8923106193542
21	-113.86769	170.45259	-7.524413	-561.6676	182.0	-45.94077	8.56382	-8.574234	-52.756264	44000	-0.043907057	848.04443	-0.0007048957	-300.78052	0.91451544	-5.1259996e-09	765.1114881038666
22	-97.750786	167.06117	-5.2727947	-641.9935	154.91667	-46.41562	10.756664	14.412906	-53.24846	46000	-0.08211461	614.22296	-0.0015048683	-237.04892	0.9143361	2.3126603e-08	798.5916957855225
23	-291.93945	280.38376	-11.555708	-572.3232	507.0	-47.230335	7.3220177	-6.6777134	-52.983887	48000	-0.21188432	264.9658	-0.0013292879	-122.10776	0.9141668	-9.179115e-09	831.9407615661621
24	-112.47757	185.00095	-8.731561	-595.5001	202.0	-51.002777	6.338471	8.418946	-53.45854	50000	-0.11434451	392.88806	-0.0010712594	-203.83609	0.91397256	-1.1920929e-09	865.7262628078461
25	-82.19103	144.4604	25.956577	-579.4031	142.28572	-41.215954	11.4450035	6.013964	-53.08853	52000	-0.18951277	387.86575	-0.0011665821	-97.556244	0.9137821	9.775162e-09	899.6872997283936
26	-53.433434	51.62813	-10.566499	-242.51318	82.72222	-31.740145	13.04417	15.266696	-53.1343	54000	-0.12911999	539.93774	-0.0012471825	-123.8613	0.91357476	-6.0796737e-09	934.5842931270599
27	-123.41588	205.70282	-13.601358	-624.93085	203.0	-43.856056	12.962888	4.018595	-53.692677	56000	-0.108649716	360.23047	-0.0006082356	-134.85745	0.91336787	-2.503395e-09	969.824872970581
28	-99.18115	182.37402	0.8270381	-541.1509	180.14285	-51.018467	11.930621	3.6167533	-56.954086	58000	-0.1141461	138.91133	-0.0010959208	-42.891724	0.9131687	-6.0796737e-09	1004.4709956645966
29	-68.23241	127.42844	6.42175	-543.39374	122.125	-40.159134	14.527633	23.802036	-55.274067	60000	-0.12243442	349.12448	-0.0014188066	-154.2387	0.91296697	-7.7486035e-09	1038.9319396018982
30	-86.975525	187.41553	31.57137	-641.34015	156.3	-39.90504	17.242928	8.108573	-54.748505	62000	-0.100210115	422.66888	-0.0006403923	-165.7717	0.9127701	6.198883e-09	1074.5028195381165
31	-583.059	28.278198	-554.7808	-611.3372	1000.0	-50.70411	9.155134	1.3687696	-55.019104	64000	-0.08058958	212.6386	-0.0015046	-95.4232	0.912568	1.3351441e-08	1109.1515555381775
32	-107.68845	161.05766	-13.989188	-591.2443	156.36363	-50.945343	5.8715076	-5.9409585	-54.18707	66000	-0.0562339	502.74084	-0.00095330924	-197.90335	0.9123781	7.152557e-09	1142.753056526184
33	-261.50424	259.9245	-1.5797282	-521.4288	518.0	-47.842674	7.325548	-8.93749	-53.573242	68000	-0.23568253	160.61145	-0.0021658987	-57.437553	0.9121899	-1.7881393e-09	1176.7521238327026
34	-70.16511	59.25058	-1.5022328	-186.03761	115.09091	-42.436005	11.2115555	6.35491	-53.662025	70000	-0.10115586	437.99344	-0.00081799924	-143.68463	0.91198796	-1.6689301e-09	1210.7275652885437
35	-51.746296	46.86571	0.50111556	-161.76094	103.17647	-31.357407	10.824506	29.784733	-54.81017	72000	-0.1060575	626.45844	-0.0012113526	-281.67136	0.9117833	2.3841857e-09	1244.2914361953735
36	-89.02154	166.05136	-1.852648	-621.44745	164.83333	-33.469315	11.825524	11.158935	-54.450356	74000	-0.14590292	485.9834	-0.00077053905	-227.90201	0.91158605	-1.1920929e-09	1279.2754497528076
37	-108.9953	161.12878	-6.204329	-554.08295	187.4	-35.561012	15.433129	10.119635	-55.307423	76000	-0.07371394	579.42865	-0.0008377582	-253.72903	0.9113789	-4.529953e-09	1312.7994697093964
38	-77.61249	135.93594	-5.505171	-560.3411	132.78572	-40.741947	12.003406	7.2972426	-54.481426	78000	-0.08393967	335.27014	-0.0011091083	-183.87706	0.9111809	-1.001358e-08	1346.5000953674316
39	-41.15932	35.34556	-3.7045949	-129.95169	99.21429	-32.963467	12.651216	16.76681	-53.49574	80000	-0.14006805	222.3613	-0.0011670142	-102.18307	0.91098887	1.26361845e-08	1379.563692331314
40	-78.78701	76.513794	7.0352817	-226.42155	108.8	-29.888538	12.83687	8.660937	-53.134983	82000	-0.11680822	721.1598	-0.00096823275	-434.50427	0.9107923	2.3007393e-08	1413.5876348018646
41	-107.71324	191.34782	-1.316641	-569.3217	185.42857	-49.256798	10.833642	6.320477	-56.519127	84000	-0.106515445	249.32	-0.0011258125	-96.289825	0.9105946	1.5497207e-08	1448.404995918274
42	-95.57232	148.39888	0.7281984	-521.71655	192.0	-39.82443	15.27064	4.116221	-56.309654	86000	-0.10494711	498.47803	-0.0011356398	-204.69513	0.910398	2.503395e-08	1483.203486919403
43	-80.454315	175.15785	17.984299	-573.6135	145.77777	-46.641586	13.551679	17.96632	-56.60649	88000	-0.13544428	192.35016	-0.0013823807	-78.12093	0.9102013	-3.4570693e-09	1518.7364330291748
44	-59.121464	128.19563	-0.3949646	-494.32852	134.3077	-36.57028	18.626177	4.850823	-56.041157	90000	-0.15186778	346.7263	-0.00074093044	-124.924515	0.91000205	1.0371208e-08	1553.5999023914337
45	-85.615715	147.47414	2.1321344	-588.7118	151.6923	-33.553432	15.522251	5.879114	-54.516575	92000	-0.105284	354.45544	-0.001308471	-116.25293	0.90979636	1.0728836e-09	1587.591938495636
