Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	9.746791	4.2560925	32.064243	3.9051557	13.131579	-0.29314208	0.056485265	-0.16580243	-0.46661127	2000	0.010913882	45.048985	-0.013364125	-33.49561	0.9189396	-5.00679e-09	29.990158081054688
1	9.523816	3.0991404	21.582962	4.0551176	12.794871	4.0079947	1.947487	7.0262194	-1.0587902	4000	-0.027719168	6.051222	-0.016752632	-2.113816	0.91903794	1.0371208e-08	58.909881830215454
2	10.698435	4.248043	32.533924	5.054713	14.056338	4.7339664	2.6561728	8.980489	-0.68808806	6000	-0.017542513	8.70095	-0.018123781	-1.3794026	0.918976	-3.2782554e-09	87.8710823059082
3	10.954656	4.650187	30.029882	4.9998226	14.12766	5.3535643	3.1889927	10.55057	-1.4233508	8000	-0.014769307	9.514288	-0.019060295	-0.68962	0.9189496	-1.7881394e-10	116.10265970230103
4	12.132856	5.878532	44.36463	4.485424	14.969925	5.9384317	3.4418876	11.435091	-2.1522002	10000	-0.030586826	15.398959	-0.018925993	-0.9785576	0.91891295	3.6358834e-09	143.65843296051025
5	14.581884	9.706768	90.06647	5.7809286	17.0	6.7412133	3.964782	12.92946	-3.938787	12000	0.046763893	56.027924	-0.015194982	-7.9530716	0.91880614	1.9669533e-09	171.05438494682312
6	15.027946	13.26717	116.48607	4.216263	17.304348	8.049771	5.3177443	18.279016	-2.6430209	14000	-0.062269744	119.45701	-0.012262244	-15.705673	0.91880846	-6.7949295e-09	197.86332750320435
7	18.506187	17.796482	142.47592	5.3990536	19.97	10.038591	6.9730225	24.976439	-7.0655622	16000	-0.0055463826	167.68571	-0.014539224	-23.853592	0.9187266	1.847744e-09	224.35059595108032
8	21.38882	15.672387	127.63619	6.7506437	21.744444	13.81999	8.878939	32.187107	-7.320814	18000	0.019589154	150.3172	-0.012545289	-24.882729	0.9186587	8.9406965e-10	250.2302746772766
9	23.108095	16.860449	105.574715	6.943492	22.71591	14.271522	9.401705	38.254658	-4.206436	20000	-0.055312186	107.08033	-0.014679678	-10.889671	0.9186238	-2.3245812e-09	276.1510593891144
10	31.990688	36.17794	250.39319	5.122564	27.63889	14.15987	9.849582	38.934277	-16.366764	22000	-0.049360983	750.4301	-0.011806987	-212.76233	0.9185362	2.0861626e-09	302.1949338912964
11	34.098167	36.646996	193.30159	7.429161	29.367647	24.809504	15.003237	48.78552	-6.5185227	24000	0.0045793722	531.6477	-0.011331448	-59.276825	0.91840917	-3.4570693e-09	328.51435375213623
12	54.319454	53.101124	219.04147	9.548683	37.622643	28.942972	16.469667	53.564518	-7.9147396	26000	-0.028414177	1094.3857	-0.009691739	-237.55768	0.9183078	-1.013279e-09	355.23511385917664
13	42.87447	39.43023	176.944	7.9406486	34.089287	34.49213	18.268614	57.577602	-6.127052	28000	-0.03654657	578.57025	-0.010655474	-64.13806	0.91819924	5.543232e-09	381.41139674186707
14	63.49241	52.454685	210.78394	10.065361	44.155556	35.095768	15.597834	54.326508	-7.485847	30000	-0.028372293	854.6326	-0.009746844	-121.89087	0.9180859	6.9141386e-09	408.32599687576294
15	70.08259	58.433098	225.74968	8.021133	45.581394	39.604836	16.037827	59.935867	-5.361622	32000	-0.10703199	942.18365	-0.007008344	-164.54535	0.9179602	-2.026558e-09	435.8505859375
16	93.66202	57.78586	217.47763	12.385521	55.36111	51.572727	17.67989	68.12633	-21.500666	34000	-0.03197947	1012.01447	-0.004934918	-208.94244	0.91778296	-7.092953e-09	462.34669828414917
17	85.332756	68.96648	249.3017	11.27356	52.48649	50.01171	17.421295	67.98116	-5.6273947	36000	-0.002793671	1335.24	-0.0060413773	-197.38928	0.9176026	-1.7881393e-09	489.03907561302185
18	94.79662	57.94748	227.66597	15.147002	56.971428	58.268013	13.751435	73.80637	2.3554783	38000	-0.008035089	986.9452	-0.0033905962	-164.99341	0.91743475	1.9073487e-09	515.6342899799347
19	108.04647	61.57589	224.6822	11.146763	59.696968	54.994247	15.257963	73.58572	-13.754007	40000	-0.008863597	1115.499	-0.0017636083	-242.59088	0.9172755	-3.9935113e-09	542.2762846946716
20	113.52802	63.32154	275.38452	9.85786	64.3871	58.83581	17.042778	77.38537	-8.655067	42000	0.008219149	999.5107	-0.0012811259	-178.67523	0.91712844	2.2649764e-09	568.8062989711761
21	103.255165	50.111217	225.50394	23.009708	57.52941	63.91206	16.470707	80.197975	4.396787	44000	0.006668553	842.7469	-0.0004013828	-159.64197	0.9170005	-4.887581e-09	595.7663202285767
22	98.93511	48.52939	213.65746	13.286656	55.416668	56.94574	18.114853	76.32475	-0.068385184	46000	-0.045881636	789.60626	-0.0005943924	-108.61047	0.9168902	-2.6226044e-09	622.0655987262726
23	95.40565	44.30214	207.46115	12.213604	55.45714	53.34857	16.59937	75.05234	4.422104	48000	-0.015544281	583.7707	-0.00064237695	-91.408844	0.91676736	-2.503395e-09	648.8704650402069
24	103.96234	50.10258	230.92377	22.427055	60.515152	51.59208	16.679146	73.68239	5.232399	50000	-0.04501797	687.689	-0.0005585067	-126.23572	0.916645	-3.6358834e-09	675.622561454773
25	118.86694	53.218815	248.65285	31.025742	65.833336	55.2281	18.778904	77.24355	1.0067832	52000	0.00097462354	911.2148	-0.00043956412	-227.88666	0.9165077	-3.516674e-09	700.9662263393402
26	94.85428	37.958496	218.29742	9.546483	55.5	63.283802	19.66371	80.75456	3.0370398	54000	-0.05027871	626.3204	-0.0006098412	-233.00647	0.91638625	-3.3974648e-09	727.1592454910278
27	118.235306	45.68123	265.06577	40.34722	66.46667	47.413612	19.53512	77.36039	-3.283663	56000	0.01551511	771.5805	-0.00070395414	-351.25647	0.91624767	4.768372e-10	754.1470761299133
28	106.8217	47.210453	220.01369	38.90514	60.272728	59.041977	20.746956	83.44958	11.056645	58000	-0.004219058	685.2314	-0.0018336899	-68.149475	0.91613084	-1.0609627e-08	780.1743578910828
29	111.79124	56.498463	264.05643	14.049941	64.22581	58.852966	17.529379	80.88025	11.483182	60000	0.034996856	766.8059	-0.0017219894	-183.91333	0.91602236	1.4901161e-09	805.9183721542358
30	126.561874	58.03406	252.63893	59.579014	67.793106	57.06774	21.466166	85.577	8.034217	62000	0.035376247	828.8671	-0.0019363165	-181.17493	0.91595155	-2.7418137e-09	831.742271900177
31	109.66652	40.039864	227.3638	54.988876	59.696968	65.13811	22.027395	91.77383	2.5479264	64000	0.04273948	712.1218	-0.0030042753	-223.2402	0.9159056	5.9604643e-10	857.3705019950867
32	113.985	51.119156	252.51013	61.59635	62.375	56.415092	19.800955	89.87243	3.9876938	66000	-0.010555022	829.0333	-0.0028582606	-149.16376	0.9158946	2.026558e-09	883.730829000473
33	135.25854	54.529644	246.13878	25.568459	70.39286	58.316048	19.687387	90.107834	-6.4478703	68000	-0.015790723	882.4464	-0.0027552657	-235.58228	0.9158776	6.8545343e-09	909.4752218723297
34	106.09849	38.219173	218.73344	44.1754	59.969696	69.21128	22.810457	94.871315	0.1071012	70000	-0.0055384045	703.82983	-0.0029112152	-317.83615	0.9158522	4.2915342e-09	936.4628455638885
35	117.36908	49.89175	222.43695	30.715801	62.451614	54.957462	19.629833	80.80475	-2.0061378	72000	0.006720733	815.42615	-0.003784669	-154.7685	0.91582805	-4.1127204e-09	963.2226712703705
36	142.75204	49.632545	226.09308	69.57891	73.59259	64.87434	21.14486	97.93222	7.160932	74000	0.044904727	770.08044	-0.0029020682	-191.02979	0.91580886	-7.808208e-09	989.3942329883575
37	125.938965	53.359562	239.07272	18.715725	66.666664	66.109436	24.498877	95.38951	8.552199	76000	0.0072724167	792.27075	-0.0034970785	-135.24445	0.91581756	7.1525574e-10	1016.2427887916565
38	122.72229	50.094757	231.27525	23.905148	65.53333	67.26704	21.467577	93.92367	-0.5286477	78000	-0.013044088	810.7459	-0.003960549	-197.48346	0.91583204	-2.861023e-09	1043.251208782196
39	153.62195	57.445824	239.16475	54.270775	76.53846	62.986454	21.346518	97.70988	3.1785252	80000	-0.027435185	1032.266	-0.0030397158	-355.17407	0.91583544	-5.9604643e-10	1069.6312174797058
40	150.8675	54.901966	230.7571	61.98509	77.6	75.967316	23.12745	101.5663	-0.8901756	82000	-0.008435854	710.3683	-0.0012354208	-170.9685	0.9158249	-1.4305115e-09	1096.5067520141602
41	164.70538	55.662636	254.77649	60.66139	80.5	68.87485	28.789286	107.29541	4.364433	84000	-0.0025021469	830.7738	-0.0023832049	-262.64917	0.91580844	3.1590461e-09	1121.930244922638
42	145.6589	61.96098	241.66307	36.40797	75.03846	83.4632	26.956272	111.10692	0.21089602	86000	-0.038883686	1252.7142	-0.0010111257	-577.6538	0.9157951	2.384186e-10	1147.6932361125946
43	175.30377	55.959103	238.15988	65.01591	85.91304	70.45881	26.94782	103.58676	-0.63736147	88000	-0.06930894	1027.5221	-0.0011083409	-358.03857	0.91575694	-3.3974648e-09	1173.2946128845215
