Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	96.96763	21.433577	174.0894	72.09524	19.98	-0.05359337	0.26859477	0.74148893	-0.72772694	2000	0.031510346	3319.533	-0.037211936	-851.13257	0.9189439	2.7656554e-08	44.98497128486633
1	97.78392	26.243923	199.3502	72.0113	20.080809	9.448609	0.0791181	9.455352	5.9729786	4000	0.07862243	2675.093	-0.021150086	-427.39673	0.91899693	-3.8146974e-09	88.53839445114136
2	93.90514	18.798351	187.71466	72.083565	19.330097	15.000422	0.032843236	15.00217	13.553518	6000	-0.03545759	1851.7236	-0.016565386	-278.58655	0.9190356	-1.1920929e-08	131.07612204551697
3	95.96088	24.556812	198.0675	76.56798	19.762377	19.546598	0.44134772	19.561577	1.6159809	8000	-0.084649526	1823.745	-0.012563482	-244.00964	0.9190446	1.2397766e-08	173.20000886917114
4	94.13904	19.63162	157.11224	72.05018	19.37255	23.893774	0.39659777	23.908981	7.4745636	10000	-0.018729625	1398.414	-0.012707965	-178.0011	0.9190357	1.9550324e-08	213.6264238357544
5	96.59079	22.384474	161.22314	72.21077	19.782179	27.429459	2.1172907	27.721312	-20.81406	12000	-0.07395084	1341.6493	-0.010397457	-202.33435	0.9190326	-5.0544738e-08	254.0303373336792
6	99.95495	31.445726	226.10602	76.579056	20.618557	28.65156	5.5166583	31.448933	-3.977383	14000	0.052455526	1555.93	-0.009042982	-252.30212	0.91899896	3.671646e-08	294.03826093673706
7	97.30677	21.780977	163.06567	72.245026	19.96	30.579151	9.006514	35.708363	-4.644986	16000	-0.058473725	947.16064	-0.008347493	-158.27313	0.918977	-3.71933e-08	334.85328102111816
8	102.692406	26.982378	203.15347	76.803894	20.98936	33.224384	10.209931	39.320705	-1.2265022	18000	0.07383528	1082.1022	-0.009527765	-168.85327	0.91895074	1.4781952e-08	375.76837396621704
9	101.43606	25.65199	187.91582	72.14415	20.75	35.25957	12.182698	43.101322	-4.772716	20000	0.06784406	855.58167	-0.009423129	-136.80511	0.9189416	-2.0503998e-08	418.4458510875702
10	101.309875	31.80572	275.77286	72.12364	20.802084	37.135975	13.699376	46.52966	-3.6934645	22000	0.12105178	980.21094	-0.0090258345	-136.35468	0.91895086	-1.3828277e-08	460.6245310306549
11	99.027145	22.242476	180.40814	72.11157	20.27551	38.937817	15.039405	49.882214	-7.2886086	24000	0.068731226	545.49646	-0.0062564574	-95.99332	0.9189799	5.9604645e-08	502.6574387550354
12	105.73388	32.393875	251.08516	71.806175	21.630434	41.360073	15.570494	52.536655	-4.910221	26000	-0.088845864	857.89923	-0.007328242	-129.45667	0.9190225	7.629395e-09	544.2748024463654
13	101.7026	26.780725	189.3531	76.85679	20.905264	42.041164	17.34501	55.737377	-4.18846	28000	-0.0016968432	557.9666	-0.005831758	-109.10303	0.9190388	2.2411346e-08	585.9828214645386
14	108.77933	29.608858	213.8015	76.714005	22.191011	45.36936	17.395203	58.34435	-1.9300878	30000	-0.026024422	691.9393	-0.0066919755	-127.329895	0.91905123	-1.2874604e-08	628.3546326160431
15	104.04961	23.74909	167.92989	72.12971	21.223404	45.221016	19.357843	61.33118	-8.152672	32000	0.010927919	417.81735	-0.0073134587	-101.90631	0.91906536	2.0980835e-08	670.098237991333
16	104.15194	25.109364	179.979	71.94095	21.265957	46.5306	20.11306	63.538853	-20.801617	34000	-0.12970506	423.9527	-0.006780967	-109.14603	0.91907394	-6.2465666e-08	710.4376680850983
17	109.860916	32.27815	223.62518	76.78404	22.56322	47.89066	21.203186	65.59128	-7.6718106	36000	0.027129652	634.45776	-0.007092228	-142.27484	0.9190716	4.7683715e-09	752.5371639728546
18	107.2924	30.688063	213.11067	76.72128	22.033333	49.14714	21.969742	68.30628	-4.005041	38000	-0.055994507	491.07053	-0.0065968223	-118.631805	0.9190766	-2.0980835e-08	793.7669010162354
19	108.80691	31.765867	220.00063	76.94604	22.269663	50.111355	22.002808	70.516655	-15.753419	40000	-0.11716473	525.993	-0.0065561384	-154.573	0.91906327	-2.3841857e-09	834.6307067871094
20	113.306206	29.9864	233.32166	76.98602	23.411764	50.62363	23.397734	72.72262	-15.473241	42000	0.08731614	497.26474	-0.008282699	-155.00705	0.9190398	1.3828277e-08	875.8536705970764
21	109.640045	32.610252	250.51979	76.6604	22.382023	52.100437	24.304691	74.82677	-7.1763773	44000	-0.022321526	511.13486	-0.008347208	-154.78183	0.91902506	1.7642975e-08	916.8992784023285
22	114.66122	36.739876	226.90253	76.592674	23.37647	52.91501	25.070059	76.73149	-9.071693	46000	-0.13438399	605.3181	-0.0073727667	-176.64615	0.9190154	2.4795533e-08	959.686518907547
23	116.9143	38.325504	282.3249	77.30292	23.915663	55.05665	25.635641	79.09109	-31.22266	48000	-0.011009812	646.3399	-0.008082116	-185.10153	0.9189828	1.2397766e-08	1001.4167845249176
24	114.67819	31.178402	210.7873	77.00996	23.505882	54.77018	26.380507	81.53247	-27.63426	50000	-0.019385008	410.64615	-0.007513147	-156.1297	0.91895854	1.7166137e-08	1043.88440823555
25	123.39658	35.698666	235.07628	76.68316	25.215189	56.633236	26.85329	83.225876	-37.951008	52000	-0.0074961814	616.6716	-0.006606485	-238.07129	0.9189257	-2.4318695e-08	1086.768631219864
