Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	97.11765	23.971367	194.34882	72.18744	19.95	-0.05476416	0.27236757	0.76963	-0.73698103	2000	0.013231578	3431.7542	-0.038724937	-862.6382	0.9189439	-7.152557e-09	5.958634853363037
1	99.47594	30.211216	230.22705	72.17366	20.505156	9.468627	0.0635608	9.475951	7.5916348	4000	-0.0019211435	2924.7068	-0.020737754	-447.8855	0.9189969	3.862381e-08	11.804933071136475
2	94.56426	21.10493	180.7198	72.02255	19.549019	15.090367	0.023316305	15.092339	14.10588	6000	0.021741208	1925.4553	-0.016883794	-281.7489	0.9190399	-9.536743e-09	18.109123706817627
3	95.15748	20.062365	175.13022	72.02024	19.470589	19.630749	0.020536263	19.631655	18.717043	8000	-0.12802333	1655.2167	-0.011351496	-225.96826	0.9190609	-2.193451e-08	26.161153078079224
4	95.8258	21.650274	171.177	72.444786	19.673267	23.795683	0.025399012	23.796806	22.723623	10000	0.088383645	1486.072	-0.012506694	-182.03247	0.9190163	-2.3841857e-09	34.738680362701416
5	94.23106	20.211285	175.06024	72.12602	19.271845	27.652435	0.015945276	27.653524	27.154528	12000	0.026833538	1229.1663	-0.008957492	-132.86377	0.91902435	-2.861023e-09	45.56469750404358
6	97.8851	22.504412	167.96654	76.82479	20.161615	30.904177	1.6273769	31.038433	-14.294024	14000	0.13455842	1240.3517	-0.009586267	-172.9939	0.91903275	-2.193451e-08	56.794429063797
7	98.569916	20.541483	155.71257	72.057274	20.161615	31.877422	5.146343	34.41183	-4.0028567	16000	-0.09654895	1052.5226	-0.007813752	-221.27393	0.9190663	4.768372e-10	67.78616976737976
8	104.495255	25.895855	195.91667	71.944984	21.445652	33.118877	9.237627	38.143795	-6.1096125	18000	0.118147045	1151.5004	-0.008609332	-194.54736	0.9190731	3.576279e-08	78.87832164764404
9	100.27093	24.096146	184.93146	72.25996	20.536083	34.91073	11.425328	42.190998	-3.5616572	20000	-0.017576292	832.9901	-0.009791929	-139.9422	0.91910714	-9.536744e-10	89.86044383049011
10	103.343834	29.800165	216.08566	76.78064	21.170214	36.804867	13.388265	45.639168	-8.767336	22000	0.06488179	937.8436	-0.009437937	-145.7503	0.9191208	-1.001358e-08	100.92722034454346
11	99.13544	24.149015	213.3285	72.10105	20.408163	38.066727	15.027169	49.143307	-6.4455547	24000	-0.0573883	623.9081	-0.008149043	-108.77716	0.9191472	1.2874604e-08	112.23477864265442
12	105.491844	28.70676	211.07028	76.833176	21.630434	41.146797	15.714675	51.97653	-5.064666	26000	-0.16337705	749.2986	-0.006660953	-129.83142	0.91916054	2.2411346e-08	123.28241920471191
13	106.396484	30.233328	214.01048	76.67552	21.76923	42.20258	16.870775	55.087143	-9.745189	28000	-0.02975186	718.61584	-0.0062233657	-118.62598	0.91914314	-4.2915342e-09	134.56975150108337
